index,target,PCA_1,PCA_2,tSNE_1,tSNE_2
0,0.7047325,1.8345685,-1.6383826,30.177645,-24.370008
1,0.65560484,1.77673,-0.4354209,22.731668,-27.050386
2,0.7301311,1.8729507,-0.8710764,20.76615,-28.225992
3,0.761047,1.5981332,0.37390977,9.246513,-27.891546
4,0.6735665,1.6548468,-0.82956445,22.01662,-29.297249
5,0.7317585,2.1269128,0.14440943,14.625827,-33.459045
6,0.8509952,1.8303597,0.8433875,4.617901,-27.28713
7,0.6753986,0.32253712,0.6657457,-1.3543366,-17.472858
8,0.6851335,0.81293523,1.2497188,-0.87967503,-17.158865
9,0.8324486,1.570324,0.9757391,2.8885138,-25.999529
10,0.6742535,1.9857247,-1.2722633,24.23949,-21.415207
11,0.83150774,2.384226,-1.5073789,28.3699,-25.420387
12,0.678693,0.5224435,-0.2285967,-24.667135,-13.480951
13,0.77100295,1.1260402,1.3211766,-4.9256964,-22.904564
14,0.7109414,0.95600045,0.96363896,-15.514973,-15.398927
15,0.68208605,0.71800107,0.5759557,-15.607407,-15.434241
16,0.70449543,2.0153387,-1.1426357,24.230574,-21.457163
17,0.66480696,0.74212164,0.9894929,6.308885,-11.651331
18,0.6898997,0.076919705,-0.91794676,19.615757,2.6059334
19,0.8344395,0.5026524,1.1610897,-30.203783,-9.817561
20,0.65539986,0.4011874,0.8023078,-20.17239,-18.986074
21,0.7018898,1.6792496,-0.42433858,18.258038,-31.106726
22,0.916334,-0.13845317,1.1728963,-22.55277,-18.099619
23,0.67941463,1.5011721,-0.69927967,15.581651,-24.123291
24,0.6567671,0.7118721,0.11935469,10.915411,-16.35267
25,0.77618307,0.25939184,0.21462344,-27.448597,-17.97543
26,0.8648826,2.1323032,-0.840485,26.001959,-23.915747
27,0.736356,1.0410233,-0.44688687,16.41079,-27.391766
28,0.84153414,2.0521147,0.20356995,5.382797,-28.675743
29,0.6546648,1.2483325,-0.675293,15.448724,-21.332464
30,0.70737416,1.5228999,-0.58456904,18.35663,-28.482597
31,0.7126492,1.9595227,-0.07293689,14.562999,-33.400616
32,0.7299003,1.6061796,0.69511867,2.9884193,-26.42875
33,0.91217464,2.1158051,0.20839407,14.129691,-33.037285
34,0.68181866,1.1543578,0.7309676,-0.55927336,-21.018108
35,0.6639527,1.6251565,-0.3556197,21.920784,-25.654684
36,1.0597229,-0.1062078,0.78978336,-11.600862,-29.100914
37,0.68314475,-0.10993193,0.4489647,-18.95591,-2.4597895
38,0.7154072,1.2343293,0.29468673,-4.2027926,-30.827124
39,0.69530183,1.382738,0.26737356,-4.0088506,-31.033411
40,0.6613885,0.34507856,0.35144347,32.638603,-0.9472011
41,0.7726146,1.5487639,-1.4033923,27.692669,-26.600742
42,0.6884729,1.9181513,-1.0994529,27.149242,-26.653193
43,0.707251,-0.0744852,1.5275564,-30.851002,-9.17608
44,0.9472525,0.054938175,1.8021947,20.9236,17.535131
45,0.7236873,1.542011,0.15627922,8.78318,-30.908724
46,0.7919123,-0.1975961,0.8756366,17.64991,13.020225
47,0.7125077,1.0667506,-0.3786373,22.706425,-28.394289
48,0.67908347,0.47291437,0.42778268,-25.679098,-16.104826
49,0.81379974,1.604011,0.49044865,10.000329,-26.060843
50,1.14415,0.21072936,1.401668,-32.151478,-9.573843
51,0.70751417,1.4706669,0.46905398,14.509472,-9.919003
