Index,target,PCA_1,PCA_2,tSNE_1,tSNE_2
0,0.7047325,-4.3270264,0.96087235,-46.85622,6.498609
1,0.65560484,-4.0898423,1.3392811,-51.996174,0.64224756
2,0.7301311,-4.9261293,2.1442595,-56.568348,6.2605996
3,0.761047,-4.6389084,1.8964796,-53.734535,5.3371553
4,0.6735665,-3.913988,0.8251196,-45.61751,3.690651
5,0.7317585,-4.731958,1.7806231,-54.797142,7.559269
6,0.8509952,-5.3358417,2.1585248,-56.92223,8.637584
7,0.6753986,-4.138701,1.2377928,-48.35654,1.7312402
8,0.6851335,-4.2910175,1.4064623,-48.557346,1.8442886
9,0.8324486,-5.4312377,2.362124,-57.502995,8.613197
10,0.6742535,-4.083499,0.67606235,-47.2887,6.0307
11,0.83150774,-5.3312807,1.9772875,-55.64773,12.090155
12,0.678693,-4.5675354,1.7262458,-55.651905,4.720828
13,0.77100295,-4.9815464,1.8268251,-53.772865,6.510089
14,0.7109414,-4.779645,1.8822117,-55.51918,9.833021
15,0.68208605,-4.505077,1.4382188,-51.791115,5.7093954
16,0.70449543,-4.2773476,0.9135714,-47.80389,6.0651193
17,0.66480696,-4.235726,1.4070823,-50.194263,3.844219
18,0.6898997,-1.3573909,-0.36173898,-17.994568,-1.3684208
19,0.8344395,-4.3712325,1.1480353,-52.49628,15.316946
20,0.65539986,-3.2015061,-0.00603812,-39.95762,6.488711
21,0.7018898,-4.5745163,1.7641522,-52.58278,5.5364914
22,0.916334,-4.633783,1.5461785,-53.371674,15.79153
23,0.67941463,-4.240735,1.2155849,-49.881058,4.7516265
24,0.6567671,-4.2610955,1.1873728,-49.70445,5.429399
25,0.77618307,-4.789897,1.519432,-49.081207,8.969088
26,0.8648826,-3.8697827,0.5214704,-50.066288,14.289233
27,0.736356,-5.232642,1.5915977,-53.25181,12.034049
28,0.84153414,-5.4800506,2.0934203,-56.134808,12.284786
29,0.6546648,-1.5133276,-0.89456856,-18.562786,3.0728383
30,0.70737416,-4.3718495,1.3688264,-49.6942,6.2620444
31,0.7126492,-4.619177,1.7219003,-54.695854,7.926933
32,0.7299003,-4.9397316,2.16965,-56.33384,7.1527457
33,0.91217464,-5.4828095,2.2080882,-56.486843,12.642932
34,0.68181866,-3.27631,0.18942586,-38.079903,4.8268986
35,0.6639527,-3.636637,0.4892082,-42.057262,6.6208954
36,1.0597229,-6.134178,2.2018056,-55.726833,15.540742
37,0.68314475,-4.7873,1.9449273,-55.612614,5.1936073
38,0.7154072,-4.4077687,1.0370966,-47.080837,4.80488
39,0.69530183,-3.8647997,0.46571976,-45.449875,4.340008
40,0.6613885,-3.402334,0.12102967,-40.458923,4.441901
41,0.7726146,-4.7849355,1.6201236,-54.342136,9.64148
42,0.6884729,-4.5038295,1.3977282,-52.776196,7.6601176
43,0.707251,-1.6844925,-0.7369568,-18.841118,3.5571866
44,0.9472525,-5.736632,1.9886206,-55.478943,12.93196
45,0.7236873,-4.728046,1.9264276,-55.418392,8.002865
46,0.7919123,-1.9581264,-0.66083074,-28.276821,-3.6383872
47,0.7125077,-4.4722977,1.3415837,-49.683994,7.205376
48,0.67908347,-3.5819974,0.53475904,-41.896946,5.4259686
49,0.81379974,-4.859056,1.5506109,-53.779816,13.813465
50,1.14415,-4.8427434,1.5470204,-53.56723,15.299583
51,0.70751417,-3.2662523,0.5391628,-41.28166,4.7430797
52,0.87530017,-5.3279757,1.9582283,-54.62772,14.604839
53,0.78691846,-5.516343,2.2200992,-57.116665,9.874937
54,0.77072936,-3.789756,0.5652651,-49.802,13.479549
55,0.6608632,-0.16575706,-0.78956765,-6.3996654,-2.091668
56,0.8748907,-5.5472064,2.2250855,-56.020233,13.451754
57,0.66906583,-4.376396,1.3124068,-50.409756,0.6665267
58,0.8726341,-5.5343046,2.2476516,-56.337196,12.900864
59,0.66346383,-4.0541716,0.8566038,-47.440125,1.9139684
60,0.70640284,-4.8659225,1.9549263,-56.533363,4.8213015
61,0.8120579,-5.038658,1.4570036,-53.852524,13.026778
62,0.7109505,-4.41095,1.5528529,-55.1811,3.6139777
63,0.9349133,-5.361539,2.0445426,-56.15804,11.084264
64,1.1596075,-4.5845995,1.3618324,-53.140663,15.137584
65,0.69463724,-4.554416,1.8707215,-55.510384,6.3182454
66,0.74453706,-4.9554105,1.9861822,-55.803707,9.532922
67,0.6671339,-4.835482,1.2945035,-51.501232,4.221996
68,0.6770131,-3.935618,1.237455,-48.25353,1.114038
69,0.7824607,-3.1762779,0.06630982,-38.7781,2.5697522
70,0.7662557,-4.5696135,1.1446368,-50.78735,12.333507
71,0.825554,-4.893389,1.6010591,-54.009594,13.569763
72,0.8541577,-5.604006,2.2617686,-57.065388,10.733982
73,0.75307375,-5.165666,2.0560958,-57.015835,7.1415863
74,0.7927087,-3.1538098,-0.11098175,-48.752964,14.725361
75,0.6950363,-4.156277,0.94436204,-46.061123,3.9927797
76,0.81377435,-5.205985,1.9507809,-55.26085,12.234837
77,0.67362386,-4.44636,1.8097234,-55.175335,5.398428
78,0.78292215,-3.7413197,0.6166222,-51.315582,14.9333515
79,0.7593829,-4.990093,2.2217476,-55.565712,6.9829006
80,0.7891008,-4.23674,0.91510975,-51.361637,13.962007
81,0.66477334,-3.7124138,0.8684094,-42.52468,4.7657046
82,0.7217702,-4.7253,1.8522025,-53.21234,6.4317846
83,0.7573886,-1.4122157,-0.8871798,-16.060425,3.9812171
84,0.9122613,-2.2727017,-0.46354842,-17.051565,4.2200837
85,0.8964753,-5.067929,1.5894085,-54.295967,10.081275
86,0.7566408,-4.9394383,1.776468,-53.856674,6.8837833
87,0.67784876,-3.6662195,0.5205987,-43.76178,3.029848
88,0.9056362,-5.3062754,1.8929288,-54.350945,15.454963
89,0.99094194,-5.7989016,2.121906,-55.457516,14.752359
90,0.6892792,-4.605672,1.341314,-51.937946,7.264404
91,0.72473073,-4.699574,1.479277,-52.644398,6.5137243
92,0.68215114,-3.891069,0.6264463,-46.154682,5.4540377
93,0.86017126,-3.4615953,0.17563058,-49.137276,14.57106
94,0.6823869,-4.423734,0.89939,-47.673786,7.805955
95,0.8661452,-5.755567,1.9840783,-55.474293,12.947658
96,0.690725,-3.800823,0.7024698,-42.306995,5.5474095
97,0.74126637,-1.7130064,-0.6289095,-18.901007,0.28223026
98,0.6723381,-4.1118975,0.7065267,-45.94446,8.8890705
99,0.67556304,-3.9055748,0.33883208,-43.90343,5.6613574
100,0.7209877,-4.1745853,0.9873784,-49.004215,6.348891
101,0.73489034,-4.8273954,2.1985524,-56.18664,6.934329
102,0.7211007,-2.617543,-0.5870186,-35.6199,2.1946619
103,0.8069836,-5.6156917,2.3595173,-57.737232,9.57949
104,0.749623,-4.7633567,1.2724003,-48.927414,8.905615
105,0.66933084,-4.023447,0.75622046,-43.4216,5.0056653
106,0.72774225,-4.5561123,1.9693037,-54.204594,5.3341517
107,0.68472296,0.086950354,-1.4607695,-1.7066095,-4.6369185
108,0.66548663,-3.3900902,-0.19281718,-39.79288,5.7246027
109,0.65799,-3.4282467,0.5649157,-42.695614,-0.83409655
110,0.9251059,-4.2278647,1.1290051,-52.526096,15.456683
111,0.66243535,-3.6727533,0.22487393,-43.768776,6.3549976
112,0.49352545,-0.75843376,-1.0565945,-14.856608,-8.292322
113,0.5037803,-0.5639009,-0.7404726,-13.751706,-5.428034
114,0.53528845,-1.4497414,-0.76886624,-24.685905,-4.593106
115,0.5045395,-0.94300485,-0.9818481,-15.960969,-7.5452075
116,0.5514143,-1.8145225,-0.31013745,-29.989374,-6.550766
117,0.516274,-1.8144709,-0.8150974,-26.162418,-5.0258846
118,0.519121,-0.997155,-1.2768409,-21.01913,-6.040635
119,0.52823305,-0.010623516,-0.7278954,-7.802859,-2.6352699
120,0.5484625,-2.2845263,-0.8014544,-27.884233,-0.34818172
121,0.5149307,-1.0511886,-1.013396,-15.994746,-7.611334
122,0.5249436,-0.043567616,-0.8217163,-6.3912015,-2.1300502
123,0.5231539,-2.032205,-0.83335376,-27.337275,-5.3296795
124,0.53990024,-1.5437497,-1.0156249,-25.198463,-5.8628693
