index,target,PCA_1,PCA_2,tSNE_1,tSNE_2
0,0.7047325,-1.4473616,-0.533393,13.412477,-3.553361
1,0.65560484,-3.1343884,-2.097831,12.915804,-12.184009
2,0.7301311,-4.4243155,-1.8591956,12.554084,-13.149563
3,0.761047,-5.418705,3.0742922,-15.622724,-17.63603
4,0.6735665,-3.5323515,0.44787174,7.185819,-13.16486
5,0.7317585,-6.717474,-3.0435247,21.639956,-31.733414
6,0.8509952,-3.5835092,-2.8275428,20.554672,-10.199544
7,0.6753986,-0.9099139,3.687497,-24.238688,-18.35483
8,0.6851335,-1.568682,1.4147799,19.197224,-6.4769053
9,0.8324486,-3.8137825,-3.34618,20.398247,-8.487556
10,0.6742535,-0.99014187,-2.4603155,18.676817,-1.6828723
11,0.83150774,-4.622058,-2.868177,19.682066,-1.0606984
12,0.678693,-2.767771,-1.1158613,11.366017,-5.7024217
13,0.77100295,-2.0326543,1.8499225,-12.846072,-17.060009
14,0.7109414,-3.270631,-1.0999212,14.104534,-17.048687
15,0.68208605,-2.55392,0.64588964,-10.900853,-15.851922
16,0.70449543,-1.7914605,-2.5356982,18.654655,-1.3558999
17,0.66480696,-2.7603436,-3.8627133,17.159061,-24.910057
18,0.6898997,-1.476789,2.8005164,-3.848217,0.03035325
19,0.8344395,-4.620996,1.9696517,2.0837421,-15.73355
20,0.65539986,-1.3113964,0.72997344,-9.579191,14.235526
21,0.7018898,-3.3143375,-3.9926229,18.499996,-28.71311
22,0.916334,0.85425663,0.70034266,-10.04242,12.0662565
23,0.67941463,-1.775293,-3.3606322,4.900344,-32.271664
24,0.6567671,-3.3720868,-2.9053264,5.0215225,-30.513836
25,0.77618307,-2.1829967,-3.8993642,-8.188641,-25.83741
26,0.8648826,-3.4050584,7.043054,-1.2583675,-7.995909
27,0.736356,-5.8896904,-3.8612583,12.200996,-34.372726
28,0.84153414,-4.5767217,-1.8716087,19.385157,-8.614923
29,0.6546648,-3.122662,7.662489,-1.8297772,-7.4567456
30,0.70737416,-5.1230106,-1.2244496,-9.8409,-23.532305
31,0.7126492,-6.687744,-2.7681859,21.527964,-31.746153
32,0.7299003,-2.7856648,-1.6224715,-23.28576,-20.517206
33,0.91217464,-7.5091314,-3.4299753,21.459404,-32.03387
34,0.68181866,-3.3976483,-2.348326,3.1412792,-21.090609
35,0.6639527,-0.553899,3.7655268,3.8838851,-4.119974
