index,target,PCA_1,PCA_2,tSNE_1,tSNE_2
0,0.7047325,5.8995123,-0.09632305,23.35829,27.868774
1,0.65560484,2.8858716,0.09809008,20.610886,22.955305
2,0.7301311,4.1809607,-0.5825226,21.252464,23.52723
3,0.761047,4.3200264,0.4135587,32.98761,11.485773
4,0.6735665,3.8065996,0.19045284,17.695269,32.83137
5,0.7317585,4.681063,-0.5659769,15.974785,33.64355
6,0.8509952,4.198795,-0.21157752,31.290665,21.230886
7,0.6753986,2.3358016,0.31222168,22.545025,-9.46374
8,0.6851335,2.5374246,0.05099635,22.856009,-9.674208
9,0.8324486,4.464626,-0.0029121523,24.157873,-8.813625
10,0.6742535,3.2425654,-1.0712453,26.76863,18.758371
11,0.83150774,4.815886,-0.17968504,29.454872,18.433298
12,0.678693,5.202537,0.14135052,26.529238,27.15812
13,0.77100295,4.1634007,1.166188,33.279297,11.69489
14,0.7109414,4.68567,-0.7186811,20.118427,25.740448
15,0.68208605,3.7801352,-0.28143543,29.915577,13.53472
16,0.70449543,4.0602493,-0.858504,26.967716,18.737585
17,0.66480696,3.5319998,-1.2877824,15.19207,26.54753
18,0.6898997,1.2702179,0.74225056,19.935135,-10.101556
19,0.8344395,0.98179835,3.3167684,-10.560041,-2.4336355
20,0.65539986,1.4977134,0.41561955,25.325289,8.86283
21,0.7018898,4.054701,-1.2532704,16.053123,27.97253
22,0.916334,2.9142308,4.4587092,28.347498,4.36193
23,0.67941463,2.7285314,-0.2980676,24.308105,11.019022
24,0.6567671,2.7176151,-0.7528894,21.768406,13.152885
25,0.77618307,4.647658,1.9215456,34.550415,10.784237
26,0.8648826,2.3361413,2.536976,-7.970317,-2.2734804
27,0.736356,3.2278533,1.184174,29.816185,7.9250083
28,0.84153414,4.349205,0.11801264,23.884533,-6.140102
29,0.6546648,0.46943647,2.3973784,-8.804532,-3.677161
30,0.70737416,3.1981254,-0.25390437,22.043085,21.912542
31,0.7126492,4.9080153,-0.747831,15.913202,33.481625
32,0.7299003,3.5441291,7.2126913e-06,23.636791,-9.045269
33,0.91217464,7.427838,-0.4743506,14.200569,33.237648
34,0.68181866,2.1979563,1.0176734,28.65538,2.3631809
35,0.6639527,4.049885,-0.8168477,16.758327,30.076782
36,1.0597229,6.108139,1.7927421,33.777275,19.097364
37,0.68314475,3.6854575,-0.2076481,24.994513,16.869967
38,0.7154072,3.3508627,0.15763825,21.690464,-11.58624
39,0.69530183,2.982973,-0.09196012,21.635609,-11.624287
40,0.6613885,1.6126397,-0.29316896,19.100758,5.8093805
41,0.7726146,4.377403,-0.3068272,28.752956,18.282158
42,0.6884729,4.4222856,-0.5691888,28.402634,18.406876
43,0.707251,-0.82702374,3.2861054,-11.7570915,-3.8794923
44,0.9472525,5.6087074,0.90317214,32.578846,18.773418
45,0.7236873,5.1252365,0.43466592,27.387503,27.178848
46,0.7919123,2.4513175,-1.0608714,15.731776,15.871795
47,0.7125077,4.820055,0.3298093,15.708817,32.67068
48,0.67908347,2.809177,0.039362557,32.469334,9.637128
49,0.81379974,3.0581024,1.0655307,31.027039,2.811965
50,1.14415,1.4218043,4.458307,-10.780533,-1.1025468
51,0.70751417,3.4790606,-0.32477582,11.478212,13.109729
52,0.87530017,4.2469153,1.005205,31.795815,4.256052
53,0.78691846,5.2836785,0.3246055,33.185547,15.898018
54,0.77072936,3.5097182,1.2152524,31.972586,2.601529
55,0.6608632,1.4495474,-0.7264307,12.011123,19.713165
56,0.8748907,5.1233644,0.6092006,30.931604,15.254334
57,0.66906583,3.9854977,-0.44857347,22.65047,16.71344
58,0.8726341,5.338649,0.5796949,30.942749,15.2615795
59,0.66346383,3.2497497,-0.8390692,24.85098,16.520376
60,0.70640284,4.6020727,2.7580407,22.929985,-3.1543422
61,0.8120579,5.2229204,1.3204376,31.008036,16.638607
62,0.7109505,4.6834226,0.030487282,21.146832,24.752247
63,0.9349133,2.3521602,-0.15400465,27.875717,13.149171
64,1.1596075,1.4375843,4.9957952,-10.874466,-0.83173865
65,0.69463724,5.2113395,-0.22653864,22.596848,25.838428
66,0.74453706,3.6313148,-0.5427386,29.83087,21.730364
67,0.6671339,3.2347295,-0.20846017,27.829428,12.98403
68,0.6770131,4.5704546,-0.54779196,25.436853,25.072311
69,0.7824607,3.7672484,0.54590696,26.571606,5.957617
70,0.7662557,1.4760364,2.8044746,-7.87062,0.9417357
71,0.825554,3.0212462,0.79116315,30.807648,3.0596056
72,0.8541577,4.1471734,-0.060300123,31.287674,21.188011
73,0.75307375,5.186143,-0.5987128,27.816565,22.165892
74,0.7927087,1.0264771,2.3956785,-8.6340685,-3.348685
75,0.6950363,4.7597837,1.0933965,17.692772,33.973587
76,0.81377435,4.958845,0.6434555,19.193886,28.966324
77,0.67362386,4.7573447,-1.4998724,16.856232,27.203817
78,0.78292215,-0.49546835,3.31924,-11.672205,-3.6822054
79,0.7593829,5.9720697,-0.6917862,27.442532,22.416874
80,0.7891008,1.0190711,3.0845158,-11.91381,-1.7463614
81,0.66477334,2.9969246,-0.27799788,22.067892,15.327104
82,0.7217702,3.105346,0.4768346,27.9992,9.575141
83,0.7573886,2.8569796,1.8651701,32.326443,1.8666118
84,0.9122613,3.4207084,2.3171732,32.971413,2.0493019
85,0.8964753,4.9496474,0.4955147,31.554802,18.383636
86,0.7566408,3.480874,0.0720584,28.372568,13.648191
87,0.67784876,6.2627554,0.15899082,22.736084,27.266861
88,0.9056362,6.7858014,-0.39369515,13.511353,33.2819
89,0.99094194,6.506598,1.3080128,31.985262,18.702572
90,0.6892792,3.8906662,0.013668825,28.615711,11.157044
91,0.72473073,4.625885,0.4089031,31.006828,11.529167
92,0.68215114,5.561812,-0.27072412,23.31464,27.909874
93,0.86017126,1.6133662,2.5521886,-8.236827,-2.7620873
94,0.6823869,2.3961287,0.27846584,24.837431,7.070093
95,0.8661452,5.151906,0.88095224,32.79721,18.873484
96,0.690725,3.326819,0.21758631,32.53734,9.688934
97,0.74126637,0.85627913,0.5266442,-3.3867173,-3.657131
98,0.6723381,1.0065016,3.7600026,-7.0822687,0.99441576
99,0.67556304,5.17668,0.32999733,31.124609,14.234419
100,0.7209877,2.7487862,0.007009821,23.858494,9.834062
101,0.73489034,5.0300503,-0.8674961,17.564941,26.684597
102,0.7211007,2.828378,-0.7160908,25.675083,14.73954
103,0.8069836,5.3936524,-0.6273498,18.328491,25.752472
104,0.749623,4.113328,1.8308568,34.358845,10.013302
105,0.66933084,3.2297106,0.004111048,27.94731,10.45053
106,0.72774225,4.268035,-0.6565981,21.887787,23.073015
107,0.68472296,-0.2371253,4.0050707,-11.584078,-11.09905
108,0.66548663,3.5712957,1.8790094,34.31391,9.701437
109,0.65799,3.886775,-0.026006456,22.115349,24.430357
110,0.9251059,0.9612631,2.8879712,-10.587428,-1.8823737
111,0.66243535,2.6193147,1.511279,29.69434,7.466172
112,0.49352545,0.7413474,-0.81563455,14.375849,-2.8593926
113,0.5037803,1.7874762,-1.2012239,9.792047,21.896563
114,0.53528845,0.7606259,-0.4319506,19.002794,-6.21832
115,0.5045395,1.4455199,-1.0060403,20.689764,1.6691383
116,0.5514143,1.7628144,-0.6382651,20.318882,7.9887214
117,0.516274,1.8026239,-1.4844065,13.380364,24.725353
118,0.519121,2.858168,-1.4505547,13.949625,25.44048
119,0.52823305,0.61202455,-0.31147623,5.795268,0.61555326
120,0.5484625,1.2743331,-0.04754348,19.854176,-9.284427
121,0.5149307,1.2935662,-1.2752099,3.3419454,27.43676
122,0.5249436,-0.23588835,-0.20652477,7.004129,-27.847075
123,0.5231539,2.2073135,-1.5152571,13.448779,23.489296
124,0.53990024,2.236767,-1.4300008,12.763952,24.048876
125,0.5313788,1.9521065,-0.7090892,11.473017,15.986
126,0.5036333,1.1903288,-1.075862,13.49013,16.992037
127,0.51201004,0.99070245,-0.8422839,17.0615,8.448397
128,0.53736496,1.0451163,1.0371255,19.497765,-7.86686
129,0.51039934,-2.2108152,1.9727204,-25.164911,-8.333086
130,0.5138023,1.6576731,2.4716163,-10.85891,10.700979
131,0.49094117,-0.3872821,0.8273258,-3.3567488,-7.7335863
132,0.523794,-0.065345794,1.4277847,-3.795531,-7.8423753
133,0.5093096,2.0807307,-1.1132749,12.541557,18.60255
134,0.5507614,2.8235803,-0.6277756,13.81332,18.958921
135,0.5432291,-0.8875783,1.3491757,-3.054563,-10.08859
136,0.49199113,-0.77926,-0.5968391,6.8116755,-29.39944
137,0.54160905,0.9789537,-0.6639587,7.0274534,11.839763
138,0.5086439,0.8638011,-1.0007837,11.495663,7.322149
139,0.51396465,1.5183876,-1.1131214,14.7410755,15.802122
140,0.5408755,1.9266973,-1.3052716,8.513032,19.181738
141,0.51827675,0.91455746,-1.0372888,18.369862,13.639474
142,0.5053847,0.4966156,1.0100583,-15.31475,6.538076
143,0.50039786,1.2185293,-0.2943121,11.873008,14.985051
144,0.49670103,0.77421385,1.760824,-1.3543149,-0.31776816
145,0.49609175,2.0506122,-1.5247275,17.755177,10.9947605
146,0.5475454,2.5362825,-1.5499845,13.295932,25.707851
147,0.53596157,1.962807,-0.123528324,5.647821,19.10793
148,0.53272986,1.8602784,-0.7217743,18.191288,18.456709
149,0.54490715,3.7270293,-1.4821904,12.792749,27.513506
150,0.52028775,1.1661268,-0.03621207,18.759253,-4.3760486
151,0.51274663,1.4687694,-0.77976424,15.336937,-1.4971993
152,0.5543858,1.0856075,-0.70873153,20.879343,4.9635606
153,0.5422951,1.2238573,-0.2530458,11.881951,14.965829
154,0.5057045,1.7074842,-0.7198411,21.93595,19.376919
155,0.53278875,1.9960533,0.57169896,31.35487,1.3769416
156,0.5045006,1.441321,-1.6627825,8.403306,15.284006
157,0.50830424,1.2688683,-1.0509617,18.110254,14.804417
158,0.5323962,2.762058,-1.290178,12.659714,23.199432
159,0.5056658,0.81883377,4.1620955,-13.9122925,-15.172159
160,0.5419976,2.5967405,-1.109395,20.258131,13.711807
161,0.5210947,2.2590778,-1.3864733,19.925432,13.413316
162,0.53818953,0.64014053,-1.7016736,8.591326,14.415631
163,0.5394998,0.7068982,3.4289722,-6.750139,0.9841946
164,0.50882596,1.9408579,-0.83521026,20.5535,1.6733973
165,0.5026745,1.8830683,-0.68719554,3.1793053,6.427512
166,0.54581416,2.8635747,0.012424211,22.66083,19.54505
167,0.49716946,1.0402322,0.05190507,19.011637,4.626011
168,0.49158067,1.7044445,-1.7583362,8.036949,15.32935
169,0.5074646,0.26118118,1.6467636,18.574308,-17.91637
170,0.5573971,1.5019749,-0.4576308,17.562958,6.2147346
171,0.49224886,1.0825819,-0.89574116,14.084234,5.3643208
172,0.5286601,-0.9887421,1.4816592,-27.978745,5.3572183
173,0.5318549,2.027385,-1.489127,19.69226,12.100308
174,0.5418331,2.1154091,-0.30000857,26.690498,12.159298
175,0.534278,1.9201735,-1.4548674,11.03958,25.076374
176,0.54661465,-1.9843849,5.001143,-18.458092,-6.0067296
177,0.4936027,0.5715296,0.008983696,14.554004,6.5221424
178,0.5065729,2.4722683,-1.588019,8.821879,23.877333
