index,target,PCA_1,PCA_2,tSNE_1,tSNE_2
0,0.7047325,-7.3366437,-1.5543104,-14.495492,-15.092821
1,0.65560484,-12.987435,-2.8165004,-11.136713,-0.020496022
2,0.7301311,-17.516659,-3.9184308,-28.915535,0.71786743
3,0.761047,-11.999986,5.3067036,-40.78479,12.658681
4,0.6735665,-15.490519,-7.15019,-21.628956,-4.0586085
5,0.7317585,-16.283344,-6.67032,-20.92978,-3.2438006
6,0.8509952,-16.829126,-3.9471986,-29.971855,-1.4855064
7,0.6753986,-12.66212,-8.801939,-26.954094,-0.589082
8,0.6851335,-13.771633,-7.2231593,-27.372425,-1.1564133
9,0.8324486,-16.663723,-5.278819,-28.400137,-2.841318
10,0.6742535,-4.007567,-5.3406863,-13.748436,-16.66447
11,0.83150774,-14.52837,-4.560088,-19.322918,-16.27237
12,0.678693,-11.684507,1.7736452,-22.20454,-12.292244
13,0.77100295,-13.871431,0.72910184,-29.525194,-8.48197
14,0.7109414,-12.32613,2.9859664,-32.866493,-3.3606238
15,0.68208605,-15.107207,-3.216078,-30.08081,-6.3519263
16,0.70449543,-5.511208,-7.4276047,-13.702431,-16.683561
17,0.66480696,-13.197767,-4.9426885,-21.285292,14.900195
18,0.6898997,-3.943791,-7.0242834,12.490056,11.142317
19,0.8344395,-7.007108,20.934494,5.5981464,1.2347654
20,0.65539986,0.5159994,34.645493,14.3185215,5.25689
21,0.7018898,-16.385168,-4.335862,-24.7429,17.380554
22,0.916334,4.231725,38.703354,14.744782,4.838739
23,0.67941463,-10.816031,-11.425549,-20.555847,8.885284
24,0.6567671,-13.225177,-2.4686456,-16.646818,10.931971
25,0.77618307,-12.859637,7.823711,-21.337883,29.06406
26,0.8648826,-13.141456,5.993299,-11.248845,6.345602
27,0.736356,-15.111382,-1.1890687,-17.374714,21.380821
28,0.84153414,-18.72995,-6.0074096,-21.823198,-0.32872888
29,0.6546648,-12.991742,4.1564612,-9.87157,5.5520763
30,0.70737416,-13.879453,1.4980867,-17.111797,25.210308
31,0.7126492,-16.175554,-6.493832,-20.986488,-3.1458302
32,0.7299003,-15.974898,-7.0223,-27.939209,-2.169957
33,0.91217464,-16.895563,-6.990341,-20.170938,-3.3411515
34,0.68181866,-16.188198,-3.9771645,-17.622839,3.119429
35,0.6639527,-9.065966,4.94012,-2.4976761,0.47540912
36,1.0597229,-6.735897,4.6715198,-30.83663,23.522184
37,0.68314475,-7.072756,4.0624957,-3.3841534,-12.540936
38,0.7154072,-8.052266,-4.3588758,-22.508076,-7.749129
39,0.69530183,-7.4704323,-1.9368274,-22.43968,-7.7960515
40,0.6613885,-14.614139,2.4125419,-5.679427,20.224228
41,0.7726146,-14.595791,-7.097761,-19.481684,-15.700009
42,0.6884729,-13.984087,-5.454458,-20.41283,-15.328906
43,0.707251,-8.450978,10.271267,2.8688006,1.7821972
44,0.9472525,-13.729299,-1.9848795,-30.0522,23.353384
45,0.7236873,-17.485722,-5.7702,-21.068157,-1.7005188
46,0.7919123,-8.58659,-3.9294596,-32.739704,9.195601
47,0.7125077,-15.192245,-8.666185,-20.314745,-4.710835
48,0.67908347,-15.964018,-1.3578886,-29.05822,17.776178
49,0.81379974,-15.463319,-0.80554926,-17.687283,1.3055745
50,1.14415,-9.5187435,16.097187,4.29159,1.8806142
51,0.70751417,-14.189738,7.254444,-5.489842,8.670675
52,0.87530017,-18.37345,-3.543104,-19.110338,-3.667614
53,0.78691846,-9.20331,0.38410994,-43.101006,8.167516
54,0.77072936,-15.236214,-0.37218463,-12.658311,6.1544485
55,0.6608632,0.63833636,8.988356,23.249111,5.4729676
56,0.8748907,-12.3303995,-7.0616226,-25.098013,-7.8005915
57,0.66906583,-15.846723,-3.195193,-18.140186,23.090406
58,0.8726341,-14.501961,-6.760102,-25.224545,-7.36703
59,0.66346383,-16.134306,-8.45056,-21.11861,4.0097866
60,0.70640284,-4.3084507,2.8408003,-43.49711,8.46509
61,0.8120579,-10.777092,-5.7730923,-18.506044,-16.36055
62,0.7109505,-9.952163,-0.8015963,-41.414085,8.354194
63,0.9349133,-10.902343,-3.6142905,-25.686045,-8.228982
64,1.1596075,-8.997776,19.199808,4.7819114,2.1403856
65,0.69463724,-11.195503,6.8584228,-39.288235,12.940439
66,0.74453706,-17.272871,-6.7378387,-30.26074,-0.47904146
67,0.6671339,-15.172958,-2.5985506,-26.00287,21.231667
68,0.6770131,-11.225502,-0.34146002,-36.969887,13.224946
69,0.7824607,-13.506755,-3.3092675,-17.903725,2.0155098
70,0.7662557,-17.036709,4.993023,-14.189156,25.885271
71,0.825554,-15.622979,-1.2173535,-17.611639,1.3945113
72,0.8541577,-17.372814,-3.1671195,-30.017498,-1.331669
73,0.75307375,-16.732475,-2.1042655,-30.787148,-2.0689528
74,0.7927087,-13.501505,1.4958938,-10.114691,5.585566
75,0.6950363,-16.800175,-6.079779,-23.006468,-3.2038403
76,0.81377435,-8.588835,1.1778119,-42.053925,8.883331
77,0.67362386,-17.83249,-1.9989855,-24.56456,2.9249496
78,0.78292215,-7.5909963,18.344727,4.910946,1.320422
79,0.7593829,-15.605127,2.6931403,-32.457676,-2.5506666
80,0.7891008,-7.351757,23.028908,5.4567375,2.4734027
81,0.66477334,-17.458057,-7.332312,-21.60654,5.352202
82,0.7217702,-15.676729,-7.1863904,-19.950014,5.351792
83,0.7573886,-15.553103,-1.9677476,-12.7975855,5.6778016
84,0.9122613,-15.259528,-1.48212,-13.078107,5.9808125
85,0.8964753,-12.072448,-4.9987717,-21.052305,-14.530417
86,0.7566408,-10.954278,-5.3788047,-25.778091,-7.85612
87,0.67784876,-6.615294,-2.4478374,-14.079558,-14.768228
88,0.9056362,-13.922313,1.0673454,-29.84501,-7.6216607
89,0.99094194,-11.026439,-3.9764454,-17.943115,-16.537802
90,0.6892792,-20.432432,-4.5240426,-24.20226,13.663436
91,0.72473073,-12.888757,1.4631135,-33.846897,-4.138045
92,0.68215114,-6.4316583,2.4461758,-14.912899,-15.391171
93,0.86017126,-12.68941,4.5546217,-11.568226,6.200107
94,0.6823869,-10.709782,-0.8390901,-15.527567,-1.9481176
95,0.8661452,-12.831661,-0.7405448,-30.155067,23.377333
96,0.690725,-17.200672,-0.3833639,-29.013609,17.80819
97,0.74126637,-9.830025,-7.759544,-15.382713,-6.0386815
98,0.6723381,-11.924491,4.4913445,-15.207539,26.585289
99,0.67556304,-10.933505,-4.1291766,-30.985052,-6.2933855
100,0.7209877,-16.342049,-6.6219807,-19.365738,6.365442
101,0.73489034,-18.233252,-1.4687797,-24.394152,2.803374
