index,target,PCA_1,PCA_2,tSNE_1,tSNE_2
0,0.7047325,2.0300736,2.650058,2.399825,28.073982
1,0.65560484,2.576879,2.3010828,3.5438883,32.142143
2,0.7301311,2.9289792,2.949262,5.2633767,32.867947
3,0.761047,3.56556,3.2393324,10.527528,34.43828
4,0.6735665,2.8609855,2.9314504,5.477717,32.00643
5,0.7317585,3.590476,3.1044836,10.72574,33.915688
6,0.8509952,3.5112526,3.396065,9.449131,34.774574
7,0.6753986,1.4577127,2.5612621,1.5570178,26.2579
8,0.6851335,2.154613,2.9155889,4.036651,28.054983
9,0.8324486,3.5805888,3.293356,9.976942,35.05296
10,0.6742535,1.5154574,2.3218546,1.3704504,25.782314
11,0.83150774,3.112182,2.9932761,8.099462,32.53396
12,0.678693,2.6319983,2.8972178,4.1482525,31.064196
13,0.77100295,2.7107341,2.5805595,4.482377,31.89845
14,0.7109414,2.8941627,2.6780999,4.5228815,32.65543
15,0.68208605,2.5150974,2.3894267,6.0385976,29.247478
16,0.70449543,1.5610261,2.29745,1.9086865,25.914253
17,0.66480696,2.2386856,0.2973076,26.158016,1.5298992
18,0.6898997,-1.642021,0.91925,-9.382401,9.312033
19,0.8344395,3.38032,-1.6110605,36.77167,-22.23668
20,0.65539986,1.1428441,-0.27284878,4.3007464,2.6004221
21,0.7018898,2.2499337,0.733022,25.627916,2.4520166
22,0.916334,0.53823656,-1.0774333,5.4375153,-7.4790926
23,0.67941463,3.2884936,-2.724348,37.52577,-13.718615
24,0.6567671,2.9000397,-2.4508169,35.189644,-11.431781
25,0.77618307,3.8619413,-2.7081192,38.874115,-20.947216
26,0.8648826,4.148316,-2.2995691,38.88086,-22.689104
27,0.736356,3.4738083,-2.6946917,38.53706,-15.023066
28,0.84153414,3.274774,2.8070683,8.881138,31.895432
29,0.6546648,3.3794453,-1.3100693,36.532486,-23.101166
30,0.70737416,3.251997,-2.4290833,37.72647,-18.353107
31,0.7126492,3.52114,3.0217988,10.586214,33.56804
32,0.7299003,3.4127116,3.1399384,9.184512,33.447926
33,0.91217464,3.495846,2.9186034,10.65088,33.12978
34,0.68181866,2.2985587,0.88365674,26.81522,3.0132306
35,0.6639527,0.6362053,1.6864184,-1.6715833,21.876133
36,1.0597229,3.5769184,3.0015678,11.690592,33.312416
37,0.68314475,3.2161658,1.9824091,10.213728,29.446026
38,0.7154072,1.6672021,2.7147248,-0.0020620353,26.326117
39,0.69530183,1.3455216,2.507023,-1.0874941,25.55276
40,0.6613885,3.172002,-2.2621331,37.267193,-19.339035
41,0.7726146,2.2973106,1.8656783,6.040604,26.81801
42,0.6884729,2.957619,2.6369157,8.135368,30.368286
43,0.707251,3.510534,-1.9036024,37.243103,-22.09812
44,0.9472525,3.4260705,2.9607422,10.14354,32.496952
45,0.7236873,1.8174886,2.413389,2.5564928,26.784737
46,0.7919123,2.3764834,1.7964785,7.417186,27.490936
47,0.7125077,2.5657,2.649642,4.386505,31.1278
48,0.67908347,3.1498802,-2.4665668,36.919872,-18.356274
49,0.81379974,3.305603,-2.5335953,40.060852,-11.943385
50,1.14415,3.9253237,-2.3773904,38.2853,-21.802534
51,0.70751417,2.965139,-2.4235566,36.188396,-17.255436
52,0.87530017,3.5630186,-2.7548573,39.699734,-13.708887
53,0.78691846,3.499709,3.1142173,9.522316,35.480125
54,0.77072936,3.5081918,-2.6272957,40.612495,-13.284693
55,0.6608632,0.23233473,1.5534822,-3.3593009,20.374277
56,0.8748907,3.1063573,3.1439126,7.8885417,32.74598
57,0.66906583,2.8849816,-2.1133246,33.625122,-8.377756
58,0.8726341,3.1651006,3.1508338,8.337434,32.9862
59,0.66346383,2.238689,1.7904379,5.832025,25.107485
60,0.70640284,3.083306,3.2141895,7.704566,34.86307
61,0.8120579,2.1440434,2.4158835,3.366323,27.35505
62,0.7109505,3.4861333,3.0077333,10.031404,34.256752
63,0.9349133,2.6353886,2.7318354,5.1651654,29.43839
64,1.1596075,3.925548,-2.3088272,38.10138,-21.938263
65,0.69463724,3.2309916,3.1386166,7.80168,33.545372
66,0.74453706,3.3699687,3.2423332,9.00861,33.81437
67,0.6671339,3.3027458,2.6593187,10.186722,31.567163
68,0.6770131,1.1900295,1.9089644,1.460602,24.418566
69,0.7824607,2.9007766,-2.2191467,34.40354,-9.089044
70,0.7662557,2.900808,-1.171599,35.793808,-22.445013
71,0.825554,3.3234866,-2.590521,39.5426,-12.167844
72,0.8541577,3.443799,3.375661,8.97729,34.52986
73,0.75307375,3.506196,3.4272118,9.103406,34.790085
74,0.7927087,3.5004117,-1.4558972,36.845787,-22.97241
75,0.6950363,2.9644666,3.0942354,5.788249,32.365055
76,0.81377435,2.2833033,2.7855892,3.2384825,28.555737
77,0.67362386,3.3701057,2.5882876,10.956787,31.828684
78,0.78292215,3.748372,-2.0376842,37.616203,-22.604406
79,0.7593829,3.3797455,3.2283509,11.441594,34.131954
80,0.7891008,3.9450912,-2.2402668,38.141556,-22.443096
81,0.66477334,2.7983482,-2.4204426,34.801945,-11.018889
82,0.7217702,2.9779782,-2.4240947,35.87584,-11.131008
83,0.7573886,3.4429936,-2.565105,40.76231,-12.950477
84,0.9122613,3.2310388,-2.409217,40.72998,-11.702447
85,0.8964753,2.4846582,2.4282575,4.675965,27.521492
86,0.7566408,2.5277667,2.746529,4.8159943,29.257547
87,0.67784876,2.4703116,2.7857904,3.823025,29.546661
88,0.9056362,2.987587,2.375248,9.045831,30.013474
89,0.99094194,2.1132958,2.4114738,2.7519755,27.37073
90,0.6892792,3.4389262,-2.7901719,38.44665,-13.127248
91,0.72473073,3.6036508,2.8113296,11.359781,32.829903
92,0.68215114,2.206237,2.6547525,2.8465068,28.832212
93,0.86017126,4.010816,-2.1824417,38.253662,-22.847946
94,0.6823869,3.1346292,-2.3700635,37.50766,-16.55253
95,0.8661452,3.5331478,3.0306773,10.6078205,32.858463
96,0.690725,3.273701,-2.5072792,37.485077,-18.999722
97,0.74126637,3.3002815,-2.241214,36.72914,-19.591457
98,0.6723381,3.2020698,-1.357108,36.271908,-22.622974
99,0.67556304,2.8233387,2.2868013,8.509009,29.402044
100,0.7209877,2.9380388,-2.332579,35.551598,-11.509783
101,0.73489034,3.3551915,2.7514427,10.731184,32.18152
102,0.7211007,2.781072,2.0027025,8.642289,28.540771
103,0.8069836,2.53171,2.762469,5.412976,30.26118
104,0.749623,3.781248,-2.5696437,38.878517,-21.353916
105,0.66933084,3.4725783,-2.7844748,38.570736,-14.1703415
106,0.72774225,3.191956,2.8722053,9.082879,32.319553
107,0.68472296,-0.22358194,1.9761618,-0.16031279,10.727416
108,0.66548663,3.4949512,-2.4098518,38.028778,-21.070011
109,0.65799,3.716937,3.377295,11.088348,35.037064
110,0.9251059,3.8982122,-2.1947591,37.92609,-22.269379
111,0.66243535,2.649797,-2.03609,35.349022,-16.79151
112,0.49352545,1.5643045,-0.96907365,23.820171,-6.682437
113,0.5037803,-0.0099648675,1.476514,-4.6841774,18.92294
114,0.53528845,0.3712884,1.671824,-2.1763911,20.88577
115,0.5045395,0.29665324,1.2736053,-2.9395926,19.329983
116,0.5514143,0.27882993,0.7364044,5.713006,-1.8616356
117,0.516274,2.1588714,-1.2344601,28.17364,-5.0842867
118,0.519121,2.1935477,-0.24412367,26.568598,-0.074914396
119,0.52823305,-1.7012261,0.7749001,-12.225122,13.732774
120,0.5484625,0.3019404,2.0576088,-4.440148,22.383522
121,0.5149307,-0.44605258,0.8080558,-3.9829586,17.169678
122,0.5249436,-0.07021667,1.965926,-5.1585145,21.492714
123,0.5231539,2.374185,-0.90537924,27.850164,-2.891976
124,0.53990024,2.2181947,-1.2259827,28.180195,-4.4304914
125,0.5313788,1.7303187,-0.4596353,24.021334,-1.000423
126,0.5036333,1.8497132,0.03780224,25.109144,0.23754187
127,0.51201004,2.1289024,-1.678498,29.232897,-8.333171
128,0.53736496,-2.2597044,0.82352674,-16.471237,12.636881
129,0.51039934,0.87568516,-0.77439016,20.770393,-7.5217614
