index,target,PCA_1,PCA_2,tSNE_1,tSNE_2
0,0.7047325,-6.991994,-2.0052452,-13.470458,-1.4531696
1,0.65560484,-4.0024695,1.1179668,-17.961708,-9.626105
2,0.7301311,-5.246003,-0.045056835,-17.75354,-8.961995
3,0.761047,-4.376973,0.48868987,-9.936917,-12.6298685
4,0.6735665,-6.2502217,-3.0361967,-11.517426,-3.19723
5,0.7317585,-9.533019,-0.48168197,-24.594728,2.428663
6,0.8509952,-5.366013,-1.0619905,-15.775532,-11.711713
7,0.6753986,-4.557479,-1.4859518,-13.665852,-12.210005
8,0.6851335,-4.2813954,-1.4581915,-14.161237,-12.148306
9,0.8324486,-5.3643365,-0.38798797,-15.410658,-10.520664
10,0.6742535,-6.1426253,-0.83295554,-14.376962,0.31074333
11,0.83150774,-7.9651513,-0.020883199,-15.518599,-2.531217
12,0.678693,-6.68875,1.1042709,-16.193474,2.9187224
13,0.77100295,-1.4725925,13.573584,-30.527712,21.563948
14,0.7109414,-4.694003,5.179143,-25.269258,9.720034
15,0.68208605,-6.7742567,7.06918,-30.62647,13.570678
16,0.70449543,-6.1743364,-0.20597014,-14.54429,0.3756226
17,0.66480696,-6.6445165,1.0878192,-19.983791,0.40238622
18,0.6898997,4.489012,-5.709723,11.317646,16.868778
19,0.8344395,-8.51259,-3.698444,-7.617706,8.721687
20,0.65539986,0.04264783,8.674574,-22.752485,27.862522
21,0.7018898,-6.5823307,1.7902793,-22.225986,-0.90079856
22,0.916334,3.1928742,10.792985,-23.024267,27.529455
23,0.67941463,-5.5266457,7.77132,-30.26952,15.083055
24,0.6567671,-5.77682,4.9409223,-29.405466,12.66204
25,0.77618307,2.340743,17.067404,-29.207985,23.72832
26,0.8648826,-8.563075,-3.5383623,-36.074383,0.77483433
27,0.736356,-7.0573173,1.8891755,-27.797546,7.122132
28,0.84153414,-4.421463,-0.6165486,-13.422597,-11.480186
29,0.6546648,-8.599469,-5.3034925,-37.134865,0.8998383
30,0.70737416,-5.5506344,8.827427,-30.80738,15.716637
31,0.7126492,-9.667561,-0.268073,-24.617975,2.4494205
32,0.7299003,-5.500108,-0.47706535,-14.922571,-10.189037
33,0.91217464,-9.794543,1.23448,-25.142475,2.6501877
34,0.68181866,-6.716529,2.9365017,-23.135452,-7.533003
35,0.6639527,-2.2892911,-7.263477,2.040893,15.205971
36,1.0597229,-7.344648,0.83113766,-14.657183,-5.150457
37,0.68314475,-4.429693,4.867002,-24.674091,11.467182
38,0.7154072,-4.522767,-0.6205725,-11.426928,-6.8806458
39,0.69530183,-3.8394346,-0.9078636,-11.323104,-7.206232
40,0.6613885,-2.2311187,12.812333,-30.749746,20.573853
41,0.7726146,-6.527721,-0.30964705,-16.5396,-0.8326188
42,0.6884729,-6.919816,-0.21190372,-16.588345,-0.828093
43,0.707251,-5.953446,-4.998809,-7.509123,9.47596
44,0.9472525,-6.336645,-0.03346794,-15.313958,-4.6400294
45,0.7236873,-5.0178394,0.9341234,-17.840387,-2.5235727
46,0.7919123,-3.2346847,-0.15577915,-8.00606,-13.305273
47,0.7125077,-6.5070148,-1.229146,-11.720329,-3.5687113
48,0.67908347,4.071387,17.577034,-28.911104,24.608864
49,0.81379974,-7.571075,0.5187593,-33.314137,1.6417513
50,1.14415,-8.596573,-3.5039155,-8.729183,9.033784
51,0.70751417,0.045961108,7.338359,-21.184397,20.168274
52,0.87530017,-10.099497,2.8149526,-26.871479,3.1591392
53,0.78691846,-4.6288457,-1.0474381,-13.015331,-16.026472
54,0.77072936,-8.029647,0.6692795,-33.95149,1.343492
55,0.6608632,-1.6455878,-4.594104,4.3725824,2.4315598
56,0.8748907,-7.035068,0.48235744,-16.279758,-6.2301755
57,0.66906583,-5.497034,5.5518837,-28.525713,12.659419
58,0.8726341,-7.230757,0.8723647,-16.38854,-6.2954526
59,0.66346383,-4.183678,0.84017986,-10.498737,-9.367451
60,0.70640284,-4.607961,-1.0897943,-12.823144,-16.215448
61,0.8120579,-7.8261843,-0.792629,-15.267235,-2.7705688
62,0.7109505,-4.513331,-0.5747814,-11.040441,-14.61945
63,0.9349133,-6.9633737,0.59807503,-16.370535,-6.4385333
64,1.1596075,-7.9796433,-3.7663991,-8.907067,9.126329
65,0.69463724,-6.7161994,-0.14912029,-15.658623,-1.1636992
66,0.74453706,-3.9642177,-1.2282282,-13.545498,-12.931777
67,0.6671339,-5.002505,0.73923093,-14.126895,-8.48949
68,0.6770131,-5.602448,1.3900291,-18.237736,-1.5744029
69,0.7824607,-2.9381604,14.131562,-30.472374,19.508997
70,0.7662557,-5.9906387,-3.7536035,-6.361495,4.0408173
71,0.825554,-7.8682437,1.4154493,-33.016663,1.957338
72,0.8541577,-5.8704333,-1.307174,-16.19814,-11.67541
73,0.75307375,-5.298451,-1.0087824,-15.683996,-11.433748
74,0.7927087,-8.861044,-3.895011,-36.91517,0.81571066
75,0.6950363,-10.070952,-3.6694314,-19.180145,6.3840966
76,0.81377435,-3.9022405,-1.8271266,-9.409841,-16.396784
77,0.67362386,-6.1333637,2.518226,-24.385817,-6.282382
78,0.78292215,-6.9462414,-4.772186,-7.5759635,9.299281
79,0.7593829,-6.399924,6.600404,-31.536009,7.8367467
80,0.7891008,-9.425262,-3.2057977,-9.403155,9.064784
81,0.66477334,-2.4868972,9.98563,-30.672472,17.052889
82,0.7217702,-1.7293102,16.163597,-31.29227,21.695139
83,0.7573886,-7.228399,-0.40699512,-34.280457,0.66997886
84,0.9122613,-7.1853046,-0.8908759,-34.534973,0.83641785
85,0.8964753,-6.6801286,-0.4849678,-16.466887,0.53821385
86,0.7566408,-6.1551347,1.1364146,-16.04703,-6.7188115
87,0.67784876,-7.4553075,-0.964457,-13.698911,-1.1756821
88,0.9056362,-9.083236,2.6718478,-25.824614,3.51271
89,0.99094194,-7.3767347,-0.9809919,-15.126336,-2.5587792
90,0.6892792,-8.875153,9.940579,-34.14219,12.589422
91,0.72473073,-5.9357634,12.37534,-32.35179,18.778713
92,0.68215114,-7.2270246,-2.197535,-13.43858,-1.359599
93,0.86017126,-8.201761,-4.253542,-36.375664,0.4031857
94,0.6823869,-6.3014865,0.8960567,-32.111618,2.6751547
95,0.8661452,-6.762891,0.22277066,-15.1812525,-4.7229223
96,0.690725,3.6199975,17.104773,-29.00486,24.482368
97,0.74126637,-4.141397,-5.0447745,-35.073822,-1.0921947
98,0.6723381,-5.6592956,-2.3315125,-6.9814534,4.0166802
99,0.67556304,-7.8964896,4.2462716,-24.78504,6.7975707
100,0.7209877,-8.49279,6.566648,-33.43564,11.53371
101,0.73489034,-7.2488885,1.0775492,-23.99296,-6.447653
102,0.7211007,-5.9952564,0.8368297,-18.32541,1.1688492
103,0.8069836,-3.5788364,-0.3118256,-9.872685,-11.358761
104,0.749623,1.0486488,14.04174,-29.409811,23.166517
105,0.66933084,-3.67666,13.0096035,-31.120378,18.753544
106,0.72774225,-4.21681,-0.18643314,-9.826262,-13.2962675
107,0.68472296,-4.8158627,-5.8834825,0.22700338,8.856529
108,0.66548663,0.8315541,14.012995,-29.641857,23.166805
109,0.65799,-4.7981615,0.3064813,-10.345165,-12.644984
110,0.9251059,-8.2289295,-4.386991,-8.189072,9.151437
111,0.66243535,-6.9065385,0.04544515,-28.835924,5.2394323
112,0.49352545,-3.008353,-0.957244,-6.337126,-15.090742
113,0.5037803,-3.9882553,-3.4803467,2.3887997,-1.198177
114,0.53528845,-4.550283,-1.6246771,-14.89217,-13.409454
115,0.5045395,-0.6239092,4.9344497,-18.459976,23.06061
116,0.5514143,-3.0454054,-1.0851264,-6.3463283,-11.177907
117,0.516274,-4.908107,0.97731423,-20.608135,0.42933917
118,0.519121,-6.158362,1.2549275,-21.41188,-0.14085849
119,0.52823305,-0.059931424,-0.3696056,6.969253,-4.763983
120,0.5484625,-5.2571197,-5.879914,1.500222,14.37669
121,0.5149307,-1.7750142,-0.05394856,-1.1521753,-18.91199
122,0.5249436,1.4071504,-4.703939,12.515867,17.595667
123,0.5231539,-6.2237997,2.7209563,-21.137419,1.5782449
124,0.53990024,-6.1626744,4.0298533,-21.334057,5.1695876
125,0.5313788,3.1718295,9.805854,-24.81982,22.533434
126,0.5036333,-2.8233764,5.7661633,-28.239086,-4.570816
127,0.51201004,-2.7103693,6.483808,-26.425827,16.203413
128,0.53736496,-0.89441395,-1.3639401,4.2802052,-15.137446
129,0.51039934,3.3961794,2.7531922,16.345518,24.717482
130,0.5138023,-3.595383,-2.696576,17.706018,-25.021696
131,0.49094117,-5.399152,-4.55736,-11.879493,4.6012144
132,0.523794,-6.137019,-3.9637277,-11.862929,4.4965854
133,0.5093096,1.1113154,8.120237,-16.299496,26.964668
134,0.5507614,2.425892,7.297568,-15.775971,27.274559
135,0.5432291,-2.5259306,-5.381927,4.0540724,9.238558
136,0.49199113,15.235423,8.305993,36.018982,3.4927716
137,0.54160905,12.752491,11.320037,34.323654,4.713128
138,0.5086439,-1.3083808,7.4960613,-26.27348,17.347315
139,0.51396465,6.603012,0.61958015,24.555944,-5.9621305
140,0.5408755,16.685482,19.123562,34.791584,5.1251593
141,0.51827675,2.5986722,9.209967,-22.665564,23.662497
142,0.5053847,4.08158,-2.8216553,29.953257,-18.413221
143,0.50039786,3.868459,10.756993,-24.8129,23.20732
144,0.49670103,-3.1062865,6.550288,-20.52705,13.919753
145,0.49609175,-3.8680966,5.3021226,-26.250769,14.849959
146,0.5475454,-6.040146,0.30086672,-19.65677,-0.18154418
147,0.53596157,-7.5438414,5.505003,-31.42363,7.804856
148,0.53272986,4.5823565,-3.2899845,9.548993,-1.4158266
