Point Index,Nearest Distance,Nearest Point Index,Target Difference
0,0.05995442018733873,92,0.022581359999999995
1,0.5090581155909395,899,-0.05925486000000002
2,0.35074281801342816,899,0.015271400000000046
3,0.35890280809433833,13,-0.009955949999999936
4,0.5319409506862556,935,0.048395999999999995
5,0.17324021332819628,31,0.019109299999999996
6,0.04297920085343839,72,-0.003162500000000068
7,0.37551008945166975,8,-0.00973489999999999
8,0.37551008945166975,7,0.00973489999999999
9,0.5702502901884395,32,0.10254830000000004
10,0.2001681622836137,16,-0.030241930000000083
11,0.7180037400014024,41,0.05889314000000001
12,0.2761993550933826,897,-0.017201360000000054
13,0.35890280809433833,3,0.009955949999999936
14,1.4262391315715606,62,-9.100000000095143e-06
15,0.2190799738223476,533,0.03106684999999998
16,0.2001681622836137,10,0.030241930000000083
17,0.3604562389472548,455,0.05005545999999994
18,0.8211298084480915,120,0.14143720000000004
19,0.5519416816188462,110,-0.09066640000000004
20,0.3141088396750412,465,0.05231260999999998
21,1.111712077046029,77,0.028265940000000045
22,0.7298274536148945,461,0.26831194
23,0.4139776491671982,210,0.18035185000000004
24,0.34575958607390866,503,0.047779500000000086
25,0.2712743727409613,934,0.18602829999999992
26,0.4807163585743791,893,0.054497129999999894
27,0.4747388273805818,111,0.07392065000000003
28,1.4992299161636287,911,0.16680384000000004
29,0.3700733540911179,74,-0.1380439
30,1.1708181124893005,106,-0.02036809000000006
31,0.17324021332819628,5,-0.019109299999999996
32,0.5702502901884395,9,-0.10254830000000004
33,0.6906351671903191,88,0.006538440000000034
34,1.3871588431378041,461,0.033796600000000065
35,0.6404322074419737,540,0.08289439999999992
36,0.44838834397205213,908,-0.1470241000000001
37,0.3779094989147541,59,0.01968091999999999
38,0.0667581098743818,39,0.02010537000000001
39,0.0667581098743818,38,-0.02010537000000001
40,1.1085577550981511,219,0.15777205000000005
41,0.3718603006614201,42,0.08414169999999999
42,0.3718603006614201,41,-0.08414169999999999
43,0.21477392484624364,78,-0.07567115000000002
44,0.2402000017735238,95,0.0811073000000001
45,0.5374923039542052,901,-0.052991200000000016
46,0.5173922273295186,198,0.24534604999999998
47,0.5442756913660561,769,0.28219926999999995
48,0.08549080460493683,96,-0.011641530000000011
49,0.33084479389792304,71,-0.011754260000000016
50,0.28663646417617994,64,-0.015457499999999902
51,0.8113896193204594,553,0.14496407
52,1.0157743070549645,906,0.06504507000000004
53,2.300005700436848,61,-0.025139440000000013
54,0.46353749003182093,505,0.20548746000000007
55,1.2307826398601005,133,0.15155359999999996
56,0.013293167239223929,58,0.002256600000000053
57,1.503770139010611,81,0.004292489999999982
58,0.013293167239223929,56,-0.002256600000000053
59,0.3779094989147541,37,-0.01968091999999999
60,1.4308851955607882,453,0.10775623999999995
61,0.465574060322308,511,0.1701511
62,0.7686090266552966,903,0.02360530000000005
63,0.17150574743139138,67,0.2677794
64,0.28663646417617994,50,0.015457499999999902
65,1.4352029470374548,87,0.016788479999999995
66,0.8392972941794808,308,0.39369029
67,0.17150574743139138,63,-0.2677794
68,0.10170015961147795,487,0.03903030000000007
69,1.4931849083368733,913,0.13603489999999996
70,0.5882425237626396,473,0.11314435999999994
71,0.33084479389792304,49,0.011754260000000016
72,0.04297920085343839,6,0.003162500000000068
73,0.45043606584397833,79,-0.006309149999999986
74,0.3700733540911179,29,0.1380439
75,0.6145342447195294,953,0.19086266000000007
76,0.07422527618675413,904,0.08925244999999993
77,0.8785544121345041,101,-0.06126648000000001
78,0.21477392484624364,43,0.07567115000000002
79,0.45043606584397833,73,0.006309149999999986
80,0.6845480663671539,902,0.10057330000000009
81,0.13330921458398912,544,0.03781374000000004
82,0.876925580320816,105,0.052439360000000046
83,0.637254781129995,505,0.1921467
84,0.6703446677180411,83,0.15487270000000009
