Point Index,Nearest Distance,Nearest Point Index,Target Difference
0,0.5130704884798957,92,0.022581359999999995
1,1.010439237377887,116,0.10419053999999994
2,0.1636012028054107,899,0.015271400000000046
3,0.1064012450773032,109,0.10305700000000007
4,0.03201569984007717,935,0.048395999999999995
5,0.11319892464224258,31,0.019109299999999996
6,0.1604656632671297,72,-0.003162500000000068
7,0.7048869622291852,8,-0.00973489999999999
8,0.7048869622291852,7,0.00973489999999999
9,0.8143587744385141,32,0.10254830000000004
10,0.04980889785971887,16,-0.030241930000000083
11,0.20889842512091802,531,0.22353484
12,0.9559129006651204,897,-0.017201360000000054
13,0.2984411537975281,452,0.15991175000000002
14,0.9072827592987972,79,-0.048441500000000026
15,0.9061349898489959,99,0.006523009999999996
16,0.04980889785971887,10,0.030241930000000083
17,0.649637035709171,933,0.04539465999999992
18,0.6404005491167231,943,0.42577054000000003
19,0.6925181895688518,78,0.05151735000000002
20,0.3099313409970818,465,0.05231260999999998
21,1.8476983417917536,932,0.07291369999999997
22,0.5971166323770015,20,0.26093414000000004
23,0.908412053619391,1031,0.20407361000000002
24,0.9296060387309231,318,0.3017425
25,0.3003592505251021,104,0.026560069999999936
26,0.3509601376025489,93,0.004711339999999953
27,0.8637249942545377,552,0.11715154000000005
28,0.8136461494808437,530,0.22634014000000002
29,0.2454167489131297,74,-0.1380439
30,1.2133193780847618,927,0.13387042999999998
31,0.11319892464224258,5,-0.019109299999999996
32,0.8143587744385141,9,-0.10254830000000004
33,0.7650610293923041,5,0.18041614000000006
34,0.814318780786918,208,0.15085506000000004
35,0.20641777652091298,540,0.08289439999999992
36,0.6967854297916974,95,0.19357769999999996
37,0.6477027444814563,115,0.17860524999999994
38,0.08294416086892425,39,0.02010537000000001
39,0.08294416086892425,38,-0.02010537000000001
40,1.0248742601456036,915,0.08317380000000008
41,0.5316074257692421,531,0.1646417
42,0.7273164838528008,534,0.08859745000000008
43,1.0996892613037783,902,0.018723500000000004
44,0.10561805854114176,95,0.0811073000000001
45,0.2330221088035412,901,-0.052991200000000016
46,1.409495088338378,1040,0.31394736
47,1.260135846737311,906,-0.09774740000000004
48,0.05490819123773663,96,-0.011641530000000011
49,0.11675516746696937,71,-0.011754260000000016
50,0.44273262635176347,902,0.45562250000000004
51,0.4974577408222838,549,0.08517731000000006
52,0.8411237165290012,906,0.06504507000000004
53,0.4954277589033545,60,0.08051562000000001
54,0.45428861103047685,84,-0.14153194000000002
55,1.2664605672658593,194,0.13378349999999994
56,0.4516480059805975,58,0.002256600000000053
57,0.5447655783582503,918,0.01554782999999993
58,0.4516480059805975,56,-0.002256600000000053
59,1.2309837864025517,505,0.09822193000000001
60,0.46844699069585377,276,0.36216899999999996
61,0.5901756776969043,89,-0.17888404000000002
62,0.3487890554776644,903,0.02360530000000005
63,0.38405538293324354,86,0.17827249999999994
64,0.5548840018922154,50,0.015457499999999902
65,0.7834073197519906,454,0.07389914000000009
66,0.8866455845096456,72,-0.10962064000000005
67,0.6239134509120648,669,0.18528049999999996
68,0.9204183939519025,487,0.03903030000000007
69,0.6862604231618274,71,-0.0430933
70,0.575355824992674,891,0.04951759999999994
71,0.11675516746696937,49,0.011754260000000016
72,0.1604656632671297,6,0.003162500000000068
73,1.0025529300350955,6,-0.09792144999999997
74,0.2454167489131297,29,0.1380439
75,0.24774557735630592,953,0.19086266000000007
76,0.8302898231153986,62,0.10282384999999994
77,0.2093311084845268,101,-0.06126648000000001
78,0.6925181895688518,19,-0.05151735000000002
79,0.9072827592987972,14,0.048441500000000026
80,0.7525228595422331,64,-0.37050669999999986
81,0.21345697207502806,544,0.03781374000000004
82,1.1699849429270444,100,0.0007825000000000193
83,0.4129260435974699,84,-0.15487270000000009
84,0.4129260435974699,83,0.15487270000000009
85,0.6869169649826686,102,0.17537459999999994
86,0.38405538293324354,63,-0.17827249999999994
87,0.5275999507249788,0,-0.026883739999999934
88,0.9178313382765327,13,0.13463325000000004
89,0.5901756776969043,61,0.17888404000000002
90,0.3510298662920287,557,0.05673980000000001
91,1.2512296853197817,14,0.013789330000000044
92,0.5130704884798957,0,-0.022581359999999995
93,0.3509601376025489,26,-0.004711339999999953
94,0.24042891723135007,892,-0.1853492
95,0.10561805854114176,44,-0.0811073000000001
96,0.05490819123773663,48,0.011641530000000011
97,1.0926397285021494,515,0.09575687
98,0.4587332337873508,163,0.13283830000000008
99,0.4255582921801074,533,0.024543839999999983
100,1.1699849429270444,82,-0.0007825000000000193
101,0.2093311084845268,77,0.06126648000000001
102,0.2719571341112426,511,0.07919390000000004
103,1.2226223682040362,6,-0.04401159999999993
104,0.3003592505251021,25,-0.026560069999999936
105,0.595857533428923,557,0.03679144000000001
106,0.8421298406991659,1041,0.27723575000000006
107,0.6834770870501518,745,0.24970786
108,0.6263414365280303,934,0.07533185999999992
109,0.1064012450773032,3,-0.10305700000000007
110,0.41297672701344795,902,0.23657840000000008
111,0.2182913924207718,484,0.05440860999999997
112,0.5874458039082743,1054,0.020840589999999992
113,0.8261509471918572,211,0.005008499999999971
114,0.8241670317029189,447,-0.11067395000000002
115,0.6477027444814563,37,-0.17860524999999994
116,0.9299016157784556,556,-0.02089350000000001
117,0.5190344521590087,678,0.04714894000000003
118,0.7320065980638436,455,-0.09563049999999995
119,0.2541636478334379,767,0.06901750000000001
120,0.3048359892249604,510,-0.04780250000000008
121,0.6175857118826589,568,0.23199602999999996
122,0.691878078402662,754,0.07068503999999998
123,1.048951294183864,779,0.07214679999999996
124,0.42586315365619626,175,0.005622240000000001
125,0.4680500265594371,476,-0.0727525
126,0.7903312669558247,768,0.07214317999999997
127,0.9151606165826839,699,0.06148350000000008
128,0.7296042278811232,513,-0.06783693999999996
129,0.42622511317143336,573,0.2411316
130,1.0078322597743583,687,0.08247704000000006
131,0.0445922408373926,132,-0.03285283
132,0.0445922408373926,131,0.03285283
133,0.35742810142958836,716,0.047571900000000056
134,0.4284650723476069,133,0.04145179999999993
135,0.7457699959560269,730,0.06103740000000002
136,0.7226520660429351,698,0.040362830000000016
137,0.19798516896474955,140,0.0007335500000000827
138,0.5572099380314387,699,0.05811736000000006
139,0.5648210941008227,134,-0.036796749999999934
140,0.19798516896474955,137,-0.0007335500000000827
141,0.39211894178807677,694,0.033759089999999936
142,0.7008181117651009,685,0.058613300000000035
143,0.2582543542476876,153,-0.04189724000000006
144,0.4640533403202803,548,-0.06090026999999998
145,0.2443770935751757,774,0.06415277000000003
146,0.3693723003285444,477,-0.053634800000000094
147,0.5331873392300746,482,-0.05611949999999999
148,1.2643477408460426,292,0.12567625999999998
149,0.5642243518068155,917,-0.07540709000000001
150,1.012887744479123,741,0.04319080000000003
151,0.9864611339952992,535,-0.11937660000000005
152,0.7257251029976852,448,-0.027146400000000015
153,0.2582543542476876,143,0.04189724000000006
154,0.07892917819159108,538,-0.0643032
155,0.8394990985291467,84,-0.37947255
156,1.9502429976330231,190,-0.029835550000000044
157,1.1126665004236445,1042,0.04606893999999995
158,1.083263083215877,35,-0.13155649999999997
159,0.8185110163133373,705,0.06848942000000008
160,0.6566048621507458,503,-0.06699
161,0.8649049063532923,187,0.022897920000000016
162,2.1391202799620683,628,0.26838919
163,0.4587332337873508,98,-0.13283830000000008
164,0.5600275013035432,451,-0.10562174000000002
165,0.7164162331249899,449,-0.06207960000000001
166,0.17185019039849625,179,0.00939926000000002
167,0.7921176063769575,702,0.06331876000000003
168,0.9414151966226176,554,-0.07150572999999999
169,0.5874804523394803,961,0.014084200000000047
170,1.0225292733491806,182,-7.257000000004954e-05
171,0.3515386049995076,734,0.05135831000000002
172,0.7857140157850054,214,0.022828740000000014
173,0.8804806450342901,182,-0.02561477000000001
174,0.33413928175687446,498,-0.10935605000000004
175,0.31543241616073453,958,0.012009050000000077
176,0.6172784023445183,765,0.08992370999999999
177,0.7185832602294605,896,-0.18728905
178,0.4586971122385672,973,-0.03804839999999998
179,0.17185019039849625,166,-0.00939926000000002
180,0.11868009713511332,924,-0.033218199999999976
181,0.8455400995491817,107,-0.16131711000000004
182,0.8804806450342901,173,0.02561477000000001
183,0.4417480257662845,510,-0.0668957
184,0.47588127652703605,438,0.35940189
185,0.8680862362657288,178,0.015659160000000005
186,1.1710046964662457,328,0.14935034000000003
187,0.8649049063532923,161,-0.022897920000000016
188,0.824683297916386,1053,0.025896100000000033
189,0.8579027883724647,770,0.07795679999999999
190,0.36568701728561387,740,0.08665401
191,0.9733071752033324,331,0.08379804999999996
192,0.584589638721044,749,0.003412169999999992
193,1.0176011122034234,128,-0.03089439999999999
194,1.2511629195190732,743,0.06363130000000006
195,0.6639795123480843,1038,0.05130132999999998
196,0.6420869387148828,524,-0.012166999999999928
197,0.7455242942932445,527,-0.11021352000000006
198,0.17717422457075993,921,-0.030856949999999994
199,0.327659555821282,200,0.0008097400000000032
200,0.327659555821282,199,-0.0008097400000000032
201,0.566802056676835,332,0.06874531
202,0.10976269742931835,957,0.054228650000000045
203,0.03185819197380783,957,0.0021819000000000144
204,0.5757130927970983,482,-0.06475956999999999
205,0.6638057854169407,204,-0.03150741000000001
206,0.7970265450638133,715,0.03184545
207,0.3226593227015922,677,0.017849630000000005
208,0.814318780786918,34,-0.15085506000000004
209,0.5183935845900599,483,-0.12034244000000005
210,1.3271613039040318,914,-0.11557792000000006
211,0.6161977791724021,764,0.031935800000000014
212,0.24251335291105064,915,-0.08214502999999995
213,0.45033520700584345,929,-0.05290025999999992
214,0.7857140157850054,172,-0.022828740000000014
215,0.06611642328498973,735,0.10362841999999994
216,0.05221539912707744,755,0.07948142000000002
217,0.8009414532373811,482,-0.06084221999999995
218,0.2798244706275704,546,-0.08383289999999999
219,0.7134385316768712,591,0.18097048999999998
220,0.7178933818599321,221,-0.04925452999999996
221,0.7178933818599321,220,0.04925452999999996
222,0.9962758705067581,270,0.16101667000000003
223,0.4210377888773892,737,-0.07521105
224,0.5466205819395149,333,-0.032528539999999995
225,0.3723593454728902,261,-0.029008750000000028
226,2.5248003216749653,279,-0.03264485
227,0.2528886448894068,717,-0.04626860999999999
228,0.7971179441776495,863,0.13755427000000003
229,1.5544365673786755,263,-0.05959973000000002
230,0.9447787174463453,287,-0.009183109999999994
231,0.5975024053123138,994,-0.03530799999999995
232,0.26560909886462114,343,0.16930528999999997
233,0.8759898052070921,682,-0.08091709000000002
234,0.49792049474947364,236,-0.003716229999999987
